scenario_id,scenario_name,scenario_tags,scenario_labels,scenario_variables,signature,orion_job_id.group1,orion_job_id.group2,orion_task_id.group1,orion_task_id.group2,animation_url.group1,animation_url.group2,ares_url.group1,ares_url.group2,binary_id.group1,binary_id.group2,binary_name.group1,binary_name.group2,binary_description.group1,binary_description.group2,result_status.group1,result_status.group2,result_status.diff2,dpe_collision.value.group1,dpe_collision.status.group1,dpe_collision.value.group2,dpe_collision.status.group2,dpe_collision.value.diff2,dpe_collision.status.diff2,dpe_collision.invalid.diff2,dpe_stuck_detect.value.group1,dpe_stuck_detect.status.group1,dpe_stuck_detect.value.group2,dpe_stuck_detect.status.group2,dpe_stuck_detect.value.diff2,dpe_stuck_detect.status.diff2,dpe_stuck_detect.invalid.diff2,dpe_assist_channel_triggered.value.group1,dpe_assist_channel_triggered.status.group1,dpe_assist_channel_triggered.value.group2,dpe_assist_channel_triggered.status.group2,dpe_assist_channel_triggered.value.diff2,dpe_assist_channel_triggered.status.diff2
29434409,lxh_ra_stuck_20260425.fp.neg_10397_20260428_183830.1777372719965.1777372749965,[],"['lxh_ra_stuck_20260425_fp', 'lxh_ra_stuck_20260425_neg', 'lxh_ra_stuck_20260425_AutoTrigger', '#31463987', 'lxh_ra_stuck_20260425_gen4-release-20260417']",[],29434409,39367009,39467651,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39367009&filterQuery=Base.task.id+has+3936700900000352,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39467651&filterQuery=Base.task.id+has+3946765100000354,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3936700900000352&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3946765100000354&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3936700900000352,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3946765100000354,1633565,1640127,simbot_flexible_diff_base_experiment_dag_1778634332,simbot_flexible_diff_feature_experiment_dag_1779006951,,,Passed,Passed,P2P,,,,,,,0,,,,,,,0,-1.0,Failed,-1.0,Failed,0.0,F2F
29434418,lxh_ra_stuck_20260425.fp.neg_10345_20260428_174053.1777369303416.1777369333416,[],"['lxh_ra_stuck_20260425_fp', 'lxh_ra_stuck_20260425_neg', 'lxh_ra_stuck_20260425_AutoTrigger', '#31461485', 'lxh_ra_stuck_20260425_gen4-release-20260417']",[],29434418,39367009,39467651,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39367009&filterQuery=Base.task.id+has+3936700900000343,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39467651&filterQuery=Base.task.id+has+3946765100000345,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3936700900000343&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3946765100000345&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3936700900000343,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3946765100000345,1633565,1640127,simbot_flexible_diff_base_experiment_dag_1778634332,simbot_flexible_diff_feature_experiment_dag_1779006951,,,Passed,Passed,P2P,,,,,,,0,,,,,,,0,-1.0,Failed,-1.0,Failed,0.0,F2F
29434429,lxh_ra_stuck_20260425.fp.neg_10346_20260428_144729.1777361350825.1777361380825,[],"['lxh_ra_stuck_20260425_fp', 'lxh_ra_stuck_20260425_neg', 'lxh_ra_stuck_20260425_AutoTrigger', '#31454747', 'lxh_ra_stuck_20260425_gen4-release-20260417']",[],29434429,39367009,39467651,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39367009&filterQuery=Base.task.id+has+3936700900000341,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39467651&filterQuery=Base.task.id+has+3946765100000335,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3936700900000341&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3946765100000335&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3936700900000341,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3946765100000335,1633565,1640127,simbot_flexible_diff_base_experiment_dag_1778634332,simbot_flexible_diff_feature_experiment_dag_1779006951,,,Passed,Passed,P2P,,,,,,,0,,,,,,,0,-1.0,Failed,-1.0,Failed,0.0,F2F
29434436,lxh_ra_stuck_20260425.fp.neg_10354_20260428_114846.1777349313232.1777349343232,[],"['lxh_ra_stuck_20260425_fp', 'lxh_ra_stuck_20260425_neg', 'lxh_ra_stuck_20260425_AutoTrigger', '#31445269', 'lxh_ra_stuck_20260425_gen4-release-20260417']",[],29434436,39367009,39467651,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39367009&filterQuery=Base.task.id+has+3936700900000325,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39467651&filterQuery=Base.task.id+has+3946765100000327,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3936700900000325&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3946765100000327&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3936700900000325,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3946765100000327,1633565,1640127,simbot_flexible_diff_base_experiment_dag_1778634332,simbot_flexible_diff_feature_experiment_dag_1779006951,,,Passed,Passed,P2P,,,,,,,0,,,,,,,0,-1.0,Failed,-1.0,Failed,0.0,F2F
29434440,lxh_ra_stuck_20260425.fp.neg_10351_20260428_093025.1777340172636.1777340202636,[],"['lxh_ra_stuck_20260425_fp', 'lxh_ra_stuck_20260425_neg', 'lxh_ra_stuck_20260425_AutoTrigger', '#31439527', 'lxh_ra_stuck_20260425_gen4-release-20260417']",[],29434440,39367009,39467651,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39367009&filterQuery=Base.task.id+has+3936700900000322,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39467651&filterQuery=Base.task.id+has+3946765100000323,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3936700900000322&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3946765100000323&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3936700900000322,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3946765100000323,1633565,1640127,simbot_flexible_diff_base_experiment_dag_1778634332,simbot_flexible_diff_feature_experiment_dag_1779006951,,,Passed,Passed,P2P,,,,,,,0,,,,,,,0,-1.0,Failed,-1.0,Failed,0.0,F2F
29434442,lxh_ra_stuck_20260425.fp.neg_10346_20260428_091520.1777339513406.1777339543406,[],"['lxh_ra_stuck_20260425_fp', 'lxh_ra_stuck_20260425_neg', 'lxh_ra_stuck_20260425_AutoTrigger', '#31438941', 'lxh_ra_stuck_20260425_gen4-release-20260417']",[],29434442,39367009,39467651,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39367009&filterQuery=Base.task.id+has+3936700900000320,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39467651&filterQuery=Base.task.id+has+3946765100000325,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3936700900000320&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3946765100000325&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3936700900000320,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3946765100000325,1633565,1640127,simbot_flexible_diff_base_experiment_dag_1778634332,simbot_flexible_diff_feature_experiment_dag_1779006951,,,Passed,Passed,P2P,,,,,,,0,,,,,,,0,-1.0,Failed,-1.0,Failed,0.0,F2F
29434444,lxh_ra_stuck_20260425.fp.neg_10346_20260428_091520.1777339240908.1777339270908,[],"['lxh_ra_stuck_20260425_fp', 'lxh_ra_stuck_20260425_neg', 'lxh_ra_stuck_20260425_AutoTrigger', '#31438693', 'lxh_ra_stuck_20260425_gen4-release-20260417']",[],29434444,39367009,39467651,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39367009&filterQuery=Base.task.id+has+3936700900000317,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39467651&filterQuery=Base.task.id+has+3946765100000315,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3936700900000317&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3946765100000315&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3936700900000317,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3946765100000315,1633565,1640127,simbot_flexible_diff_base_experiment_dag_1778634332,simbot_flexible_diff_feature_experiment_dag_1779006951,,,Passed,Passed,P2P,,,,,,,0,,,,,,,0,-1.0,Failed,-1.0,Failed,0.0,F2F
29434445,lxh_ra_stuck_20260425.fp.neg_10345_20260428_085826.1777339077614.1777339107614,[],"['lxh_ra_stuck_20260425_fp', 'lxh_ra_stuck_20260425_neg', 'lxh_ra_stuck_20260425_AutoTrigger', '#31438571', 'lxh_ra_stuck_20260425_gen4-release-20260417']",[],29434445,39367009,39467651,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39367009&filterQuery=Base.task.id+has+3936700900000315,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39467651&filterQuery=Base.task.id+has+3946765100000319,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3936700900000315&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3946765100000319&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3936700900000315,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3946765100000319,1633565,1640127,simbot_flexible_diff_base_experiment_dag_1778634332,simbot_flexible_diff_feature_experiment_dag_1779006951,,,Passed,Passed,P2P,,,,,,,0,,,,,,,0,-1.0,Failed,-1.0,Failed,0.0,F2F
29434458,lxh_ra_stuck_20260425.fp.neg_10356_20260428_074337.1777335207467.1777335237467,[],"['lxh_ra_stuck_20260425_fp', 'lxh_ra_stuck_20260425_neg', 'lxh_ra_stuck_20260425_AutoTrigger', '#31434711', 'lxh_ra_stuck_20260425_gen4-release-20260417']",[],29434458,39367009,39467651,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39367009&filterQuery=Base.task.id+has+3936700900000306,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39467651&filterQuery=Base.task.id+has+3946765100000308,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3936700900000306&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3946765100000308&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3936700900000306,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3946765100000308,1633565,1640127,simbot_flexible_diff_base_experiment_dag_1778634332,simbot_flexible_diff_feature_experiment_dag_1779006951,,,Passed,Passed,P2P,,,,,,,0,,,,,,,0,-1.0,Failed,-1.0,Failed,0.0,F2F
29434463,lxh_ra_stuck_20260425.fp.neg_10356_20260428_074337.1777334102118.1777334132118,[],"['lxh_ra_stuck_20260425_fp', 'lxh_ra_stuck_20260425_neg', 'lxh_ra_stuck_20260425_AutoTrigger', '#31433285', 'lxh_ra_stuck_20260425_gen4-release-20260417']",[],29434463,39367009,39467651,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39367009&filterQuery=Base.task.id+has+3936700900000301,https://voyager.intra.xiaojukeji.com/static/management/#/scenario/result-analysis?base_job_id=39467651&filterQuery=Base.task.id+has+3946765100000303,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3936700900000301&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-animation/?task_id=3946765100000303&task_version=0,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3936700900000301,https://voyager.intra.xiaojukeji.com/static/ares-studio/?ds=voy-sim-cloud&ds.sim_index=0&ds.task_id=3946765100000303,1633565,1640127,simbot_flexible_diff_base_experiment_dag_1778634332,simbot_flexible_diff_feature_experiment_dag_1779006951,,,Passed,Passed,P2P,,,,,,,0,,,,,,,0,-1.0,Failed,-1.0,Failed,0.0,F2F
