release,raw_rows,unique_issue_ids,duplicate_issue_rows,auto_trigger_total,manual_trigger_total,precision_auto_tp,precision_auto_fp,precision_numerator,precision_denominator,online_precision,recall_auto_tp,recall_manual_fn,recall_numerator,recall_denominator,online_recall,auto_trigger_tp,auto_trigger_fp,manual_trigger_fn,auto_recall_only_count,data_source
gen4-release-20260605,1865,1865,0,1614,251,1165,439,1165,1604,0.7263092269326683,1172,188,1172,1360,0.861764705882353,1165,439,188,7,trail_view_2410_shuyi_contract
gen4-release-20260612,768,768,0,631,137,443,182,443,625,0.7088,447,96,447,543,0.8232044198895028,443,182,96,4,trail_view_2410_shuyi_contract
gen4-release-20260618,1044,1044,0,862,182,684,168,684,852,0.8028169014084507,685,140,685,825,0.8303030303030303,684,168,140,1,trail_view_2410_shuyi_contract
gen4-release-20260626,3755,3755,0,3181,574,2465,682,2465,3147,0.7832856688910073,2473,445,2473,2918,0.8474982864976011,2465,682,445,8,trail_view_2410_shuyi_contract
gen4-release-20260710,1526,1526,0,1185,341,918,259,918,1177,0.7799490229396772,924,280,924,1204,0.7674418604651163,918,259,280,6,trail_view_2410_shuyi_contract
gen4-release-20260717,1360,1360,0,1083,277,857,213,857,1070,0.8009345794392523,859,228,859,1087,0.7902483900643974,857,213,228,2,trail_view_2410_shuyi_contract
gen4-release-20260724,1430,1430,0,1181,249,988,188,988,1176,0.8401360544217688,990,212,990,1202,0.8236272878535774,988,188,212,2,trail_view_2410_shuyi_contract
gen4-release-20260731,1557,1557,0,1220,337,1019,193,1019,1212,0.8407590759075908,1019,295,1019,1314,0.7754946727549468,1019,193,295,0,trail_view_2410_shuyi_contract
gen4-release-20260807,1246,1246,0,948,298,734,212,734,946,0.7758985200845666,734,259,734,993,0.7391742195367573,734,212,259,0,trail_view_2410_shuyi_contract
gen4-release-20260814,901,901,0,716,185,561,149,561,710,0.7901408450704225,561,142,561,703,0.7980085348506402,561,149,142,0,trail_view_2410_shuyi_contract
gen4-release-20260821,674,674,0,567,107,438,122,438,560,0.7821428571428571,438,94,438,532,0.8233082706766918,438,122,94,0,trail_view_2410_shuyi_contract
